MEM driver,NIOM driver,MEM no driver,NIOM no driver
-0.0112,0.99266,-0.0094,2.3249
-0.0215,-1.2946,-0.0176,1.8617
-0.0259,-3.4,-0.0281,1.2672
-0.0147,-5.1722,-0.0198,0.62685
-0.0073,-6.6625,-0.0012,-0.023002
-0.0144,-8.0322,-0.0046,-0.7109
-0.0173,-9.4227,-0.0216,-1.3984
-0.0098,-10.857000000000001,-0.0202,-2.1444
-0.0026,-12.276,-0.0062,-2.9789
0.0013,-13.707,-0.0017,-3.8093
-0.003,-15.077,-0.0092,-4.6142
-0.0089,-16.332,-0.0151,-5.4903
-0.0023,-17.505,-0.0068,-6.5308
-0.0043,-18.505,-0.0013,-7.6627
-0.0292,-19.307000000000002,-0.0165,-8.7936
-0.0457,-20.076,-0.0296,-9.8871
-0.0396,-20.951,-0.0214,-10.852
-0.0359,-21.905,-0.0123,-11.610999999999999
-0.048,-22.839000000000002,-0.0203,-12.205
-0.059000000000000004,-23.756,-0.0318,-12.761
-0.0558,-24.768,-0.0264,-13.274000000000001
-0.0557,-25.961,-0.0125,-13.672
-0.0668,-27.159000000000002,-0.0123,-14.127
-0.0602,-28.156,-0.0203,-14.829
-0.0243,-29.04,-0.0175,-15.630999999999998
0.0125,-29.991,-0.0079,-16.383
0.0286,-31.03,-0.0076,-17.107
0.0304,-32.187,-0.0203,-17.776
0.037000000000000005,-33.556,-0.0269,-18.51
0.0475,-35.15,-0.0164,-19.546
0.0439,-36.878,-0.0123,-20.796
0.0304,-38.507,-0.0247,-22.066999999999997
0.0217,-39.871,-0.0301,-23.37
0.0089,-40.939,-0.0222,-24.659000000000002
-0.0174,-41.745,-0.0199,-25.962
-0.0417,-42.398,-0.0302,-27.41
-0.0378,-42.94300000000001,-0.0419,-28.834
0.0071,-43.397,-0.0365,-30.000999999999998
0.0643,-43.949,-0.0217,-31.09800000000001
0.096,-44.695,-0.0265,-32.259
0.1183,-45.496,-0.0392,-33.326
0.1527,-46.229,-0.0331,-34.333
0.1665,-46.799,-0.025,-35.335
0.1423,-47.341,-0.0273,-36.3
0.1157,-48.03,-0.0267,-37.253
0.1089,-48.82100000000001,-0.0222,-38.196999999999996
0.1049,-49.751999999999995,-0.0191,-39.086999999999996
0.086,-50.871,-0.0224,-39.934
0.0621,-51.93600000000001,-0.033,-40.929
0.0527,-52.751999999999995,-0.0367,-42.169
0.0559,-53.383,-0.0283,-43.449
0.0553,-53.86600000000001,-0.0175,-44.681999999999995
0.042,-54.305,-0.0085,-45.896
0.027999999999999997,-54.746,0.002,-47.101000000000006
